"A company with this email address already exists","Ja existeix una empresa amb aquesta adreça de correu electrònic"
"A company with this Tax ID already exists","Ja existeix una empresa amb aquest ID fiscal"
"A company with this Tax/VAT ID already exists","Ja existeix una empresa amb aquest ID fiscal/IVA"
"A customer with email %1 already exists in this website","Ja existeix un client amb el correu electrònic %1 en aquest lloc web"
"A customer with this email address already exists","Ja existeix un client amb aquesta adreça de correu electrònic"
Actions,Accions
Active,Actiu
"Add New Company","Afegeix Nova Empresa"
"Add New Company User","Afegir Nou Usuari d'Empresa"
"Add New User","Afegir Nou Usuari"
"An error occurred while loading the user","S'ha produït un error en carregar l'usuari"
"An error occurred while processing your request. Please try again.","S'ha produït un error en processar la vostra sol·licitud. Si us plau, torneu-ho a intentar."
Approved,Aprovat
"Are you sure you want to delete a company?","Esteu segur que voleu eliminar aquesta empresa?"
"Are you sure you want to delete this user?","Esteu segur que voleu eliminar aquest usuari?"
Assign,Assignar
Back,Tornar
"By checking this box, you accept our","En marcar aquesta casella, accepteu els nostres"
"Change status for this user?","Canviar l'estat d'aquest usuari?"
City,Ciutat
Companies,Empreses
Company,Empresa
"Company Address","Adreça de l'Empresa"
"Company Administrator","Administrador de l'Empresa"
"Company Assignment","Assignació d'Empresa"
"Company Email","Correu electrònic de l'Empresa"
"Company Email cannot be the same as the Company Administrator Email","El correu electrònic de l'empresa no pot ser el mateix que el de l'administrador"
"Company has been saved","L'empresa s'ha desat"
"Company Information","Informació de l'Empresa"
"Company Legal Name","Raó Social de l'Empresa"
"Company Name","Nom de l'Empresa"
"Company Registration Received","Registre d'Empresa Rebut"
"Company Role","Rol a l'Empresa"
"Company Users","Usuaris de l'Empresa"
"Company with id ""%1"" does not exist","L'empresa amb id ""%1"" no existeix"
"Continue Shopping","Continuar Comprant"
"Could not assign customer to company: %1","No s'ha pogut assignar el client a l'empresa: %1"
"Could not delete customer account: %1","No s'ha pogut eliminar el compte del client: %1"
"Could not remove customer from company: %1","No s'ha pogut treure el client de l'empresa: %1"
Country,País
"Create a Company","Crear una Empresa"
"Create a Company Account","Crear un Compte d'Empresa"
"Create an Account","Crear un Compte"
"Creating a company account to access b2b purchases","Crear un compte d'empresa per accedir a les compres B2B"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more","Crear un compte té molts avantatges: pagui més ràpid, desi més d'una adreça, faci el seguiment de les comandes i molt més"
Delete,Eliminar
"Delete Company","Eliminar Empresa"
"Delete User","Eliminar Usuari"
Disable,Deshabilitar
Disabled,Deshabilitat
Edit,Editar
"Edit Company","Editar Empresa"
"Edit Company User","Editar Usuari d'Empresa"
"Edit User","Editar Usuari"
Email,"Correu electrònic"
Enable,Habilitar
Enabled,Habilitat
"Error deleting user: %1","Error en eliminar l'usuari: %1"
"Error saving user: %1","Error en desar l'usuari: %1"
"Error sending email: %1","Error en enviar el correu electrònic: %1"
"Error updating status: %1","Error en actualitzar l'estat: %1"
"Error updating user status: %1","Error en actualitzar l'estat de l'usuari: %1"
"First Name","Nom"
ID,ID
Inactive,Inactiu
"Invalid form key. Please try again","Clau de formulari no vàlida. Si us plau, torneu-ho a intentar"
"Invalid status value","Valor d'estat no vàlid"
"Last Name","Cognoms"
"Manage Companies","Gestionar Empreses"
"Max Amount per Period","Import Màxim per Període"
"Max Amount per Purchase","Import Màxim per Compra"
Name,Nom
"New Company","Nova Empresa"
"New Customers","Nous Clients"
"No users found for this company","No s'han trobat usuaris per a aquesta empresa"
"Page not found","Pàgina no trobada"
Pending,Pendent
"Phone Number","Número de Telèfon"
"Please correct the data sent","Si us plau, corregiu les dades enviades"
"Please enter a valid email address","Si us plau, introduïu una adreça de correu electrònic vàlida"
"Please select","Si us plau, seleccioneu"
"Please select a company role","Si us plau, seleccioneu un rol d'empresa"
"Please select a Company Role","Si us plau, seleccioneu un Rol d'Empresa"
Rejected,Rebutjat
"* Required Fields","* Camps Obligatoris"
Role,Rol
"Role with id ""%1"" does not exist","El rol amb id ""%1"" no existeix"
"Save Company","Desar Empresa"
"Save User","Desar Usuari"
"Select a Role","Seleccionar un Rol"
"Something went wrong while saving the company","Alguna cosa ha anat malament en desar l'empresa"
"State/Province","Comunitat/Província"
Status,Estat
"Street Address","Adreça"
"Submit Request","Enviar Sol·licitud"
Suspended,Suspès
"Tax ID / VAT","NIF / IVA"
"terms and conditions","termes i condicions"
"Thank you for your company registration request","Gràcies per la vostra sol·licitud de registre d'empresa"
"The Company Email and the Company Administrator Email cannot be the same","El correu electrònic de l'empresa i el de l'administrador no poden ser iguals"
"The company has been deleted","L'empresa s'ha eliminat"
"The user and customer account have been deleted","L'usuari i el compte del client s'han eliminat"
"The user has been %1","L'usuari ha estat %1"
"The user has been created and notified","L'usuari s'ha creat i s'ha notificat"
"The user has been updated","L'usuari s'ha actualitzat"
"This company already has an administrator. Only one administrator is allowed","Aquesta empresa ja té un administrador. Només es permet un administrador"
"This company must have an administrator. You cannot demote the only administrator","Aquesta empresa ha de tenir un administrador. No podeu degradar l'únic administrador"
"This customer is already assigned to a company","Aquest client ja està assignat a una empresa"
"Unassign from Company","Desassignar d'Empresa"
"User Information","Informació de l'Usuari"
"User not found","Usuari no trobat"
"User removed from company, but could not delete customer account: %1","Usuari tret de l'empresa, però no s'ha pogut eliminar el compte del client: %1"
Website,"Lloc web"
"We have received your application and it is currently under review","Hem rebut la vostra sol·licitud i actualment s'està revisant"
"You cannot assign the Company Admin role","No podeu assignar el rol d'Administrador d'Empresa"
"You cannot change your own status","No podeu canviar el vostre propi estat"
"You cannot delete yourself","No podeu eliminar-vos a vosaltres mateixos"
"You cannot edit your own account permissions","No podeu editar els permisos del vostre propi compte"
"You cannot manage a user who does not belong to your company","No podeu gestionar un usuari que no pertany a la vostra empresa"
"You do not have permission to manage company assignments","No teniu permís per gestionar assignacions d'empresa"
"You do not have permission to manage users","No teniu permís per gestionar usuaris"
"Your account is not enabled or your company has not yet been enabled","El vostre compte no està habilitat o la vostra empresa encara no ha estat habilitada"
"You will receive an email notification once your request has been processed","Rebreu una notificació per correu electrònic quan la vostra sol·licitud hagi estat processada"
"ZIP/Postal Code","Codi Postal"
"Allow Frontend Customer Registration","Permetre el Registre de Clients al Frontend"
"Comma-separated list of email addresses","Llista de correus electrònics separats per comes"
"Company (B2B)","Empresa (B2B)"
"Company - New Account No Password Template","Empresa - Plantilla de Nou Compte Sense Contrasenya"
"Company - Status Change Template","Empresa - Plantilla de Canvi d'Estat"
"Customer Login","Inici de Sessió del Client"
Customers,Clients
"Email Notification","Notificació per Correu electrònic"
"Email Template","Plantilla de Correu electrònic"
"Email template for company users created without password","Plantilla de correu per a usuaris d'empresa creats sense contrasenya"
"Email template sent to the company email when its status changes","Plantilla de correu enviada a l'empresa quan canvia el seu estat"
"Enable New Company Notification","Habilitar Notificació de Nova Empresa"
"Notification Email Address","Adreça de Correu electrònic de Notificació"
"Request a New Company Account","Sol·licitar un Nou Compte d'Empresa"
"Require Approval for Customer","Requerir Aprovació per al Client"
"Company Management","Gestió d'Empreses"
